time,G(i),H_sun,T2m,WS10m,Int
20200101:0006,0,0,24.77,1.38,0
20200101:0106,0,0,24.23,0.9,0
20200101:0206,0,0,23.8,1.72,0
20200101:0306,0,0,22.84,1.52,0
20200101:0406,0,0,22.54,1.45,0
20200101:0506,0,0,22.33,1.45,0
20200101:0606,0,0,21.95,1.24,0
20200101:0706,183.1,13.79,22.19,1.24,0
20200101:0806,425.6,26.97,24.64,1.24,0
20200101:0906,654.63,39.4,27.58,1.52,0
20200101:1006,811.29,50.3,30.02,1.79,0
20200101:1106,937.4,58.06,31.98,1.72,0
20200101:1206,953.98,60.09,33.41,1.45,0
20200101:1306,894.27,55.36,34.35,1.1,0
20200101:1406,764.7,46.02,34.84,0.83,0
20200101:1506,572.84,34.35,34.89,0.55,0
20200101:1606,336.4,21.55,34.44,0.07,0
20200101:1706,97.17,8.17,32.45,0.83,0
20200101:1806,0,0,30.1,1.59,0
20200101:1906,0,0,27.98,2.07,0
20200101:2006,0,0,26.5,1.93,0
20200101:2106,0,0,25.59,1.86,0
20200101:2206,0,0,25.04,1.86,0
20200101:2306,0,0,24.69,1.72,0
20200102:0006,0,0,24.26,0.97,0
20200102:0106,0,0,24.07,1.66,0
20200102:0206,0,0,22.9,1.66,0
20200102:0306,0,0,22.6,1.59,0
20200102:0406,0,0,22.24,1.66,0
20200102:0506,0,0,21.88,1.79,0
20200102:0606,0,0,21.52,2,0
20200102:0706,180.97,13.71,21.45,2,0
20200102:0806,419.07,26.91,23.85,2.07,0
20200102:0906,639.37,39.35,26.22,2.83,0
20200102:1006,806.94,50.29,28.41,2.69,0
20200102:1106,926.57,58.1,30.57,2.34,0
20200102:1206,949.58,60.18,32.36,2.07,0
20200102:1306,886.29,55.49,33.58,1.79,0
20200102:1406,757.71,46.15,34.19,1.45,0
20200102:1506,567.8,34.48,34.32,1.1,0
20200102:1606,336.01,21.67,33.92,0.55,0
20200102:1706,100.86,8.29,31.74,0.76,0
20200102:1806,0,0,29.15,0.9,0
20200102:1906,0,0,27.75,1.38,0
20200102:2006,0,0,26.6,1.52,0
20200102:2106,0,0,25.71,1.38,0
20200102:2206,0,0,25.5,0.62,0
20200102:2306,0,0,24.81,1.38,0
20200103:0006,0,0,23.61,2.28,0
20200103:0106,0,0,23.31,2.41,0
20200103:0206,0,0,22.79,2.34,0
20200103:0306,0,0,22.28,2.28,0
20200103:0406,0,0,21.81,2.28,0
20200103:0506,0,0,21.52,2.28,0
20200103:0606,0,0,21.17,2.28,0
20200103:0706,180.87,13.64,20.82,2.34,0
20200103:0806,425.5,26.85,22.86,2.48,0
20200103:0906,645.57,39.31,25.09,2.97,0
20200103:1006,809.8,50.28,27.4,2.76,0
20200103:1106,935.87,58.14,29.59,2.55,0
20200103:1206,943.46,60.29,31.41,2.21,0
20200103:1306,896.77,55.63,32.7,1.86,0
20200103:1406,768.24,46.29,33.42,1.52,0
20200103:1506,569.34,34.61,33.64,1.24,0
20200103:1606,329.84,21.8,33.33,0.9,0
20200103:1706,98.76,8.41,30.9,0.41,0
20200103:1806,0,0,29.02,0.69,0
20200103:1906,0,0,28.06,0.41,0
20200103:2006,0,0,27.19,0.14,0
20200103:2106,0,0,25.4,0.41,0
20200103:2206,0,0,24.62,0.9,0
20200103:2306,0,0,24.13,1.66,0
20200104:0006,0,0,23.14,2.62,0
20200104:0106,0,0,22.57,2.55,0
20200104:0206,0,0,22.04,2.41,0
20200104:0306,0,0,21.54,2.34,0
20200104:0406,0,0,21.15,2.34,0
20200104:0506,0,0,20.82,2.34,0
20200104:0606,0,0,20.54,2.34,0
20200104:0706,169.62,13.56,20.29,2.07,0
20200104:0806,397.79,26.79,22.42,2.21,0
20200104:0906,611.6,39.28,24.89,2.62,0
20200104:1006,786.74,50.28,27.24,2.41,0
20200104:1106,911.56,58.19,29.5,2,0
20200104:1206,934.34,60.4,31.34,1.59,0
20200104:1306,877.48,55.76,32.66,1.17,0
20200104:1406,747.32,46.43,33.41,0.76,0
20200104:1506,550.92,34.75,33.64,0.48,0
20200104:1606,323.02,21.92,33.31,0.07,0
20200104:1706,97.74,8.53,31.14,0.83,0
20200104:1806,0,0,28.61,1.17,0
20200104:1906,0,0,27.06,1.86,0
20200104:2006,0,0,25.46,1.79,0
20200104:2106,0,0,24.47,1.72,0
20200104:2206,0,0,23.96,1.79,0
20200104:2306,0,0,23.76,1.72,0
20200105:0006,0,0,23.61,1.59,0
20200105:0106,0,0,23.17,1.17,0
20200105:0206,0,0,22.63,2,0
20200105:0306,0,0,21.54,1.79,0
20200105:0406,0,0,21.29,1.72,0
20200105:0506,0,0,20.96,1.72,0
20200105:0606,0,0,20.64,1.79,0
20200105:0706,148.41,13.49,20.96,1.52,0
20200105:0806,371.6,26.73,23.62,1.45,0
20200105:0906,584.66,39.25,26.36,1.66,0
20200105:1006,744.64,50.29,28.77,1.52,0
20200105:1106,870.42,58.25,30.79,1.45,0
20200105:1206,892.83,60.51,32.17,1.31,0
20200105:1306,833.12,55.91,32.89,1.24,0
20200105:1406,690.48,46.58,33.22,1.31,0
20200105:1506,516.97,34.88,32.99,1.45,0
20200105:1606,304.15,22.05,31.76,1.79,0
20200105:1706,80.35,8.64,29.99,1.93,0
20200105:1806,0,0,27.78,2,0
20200105:1906,0,0,26.51,1.79,0
20200105:2006,0,0,25.46,1.86,0
20200105:2106,0,0,24.78,1.86,0
20200105:2206,0,0,24.38,1.79,0
20200105:2306,0,0,24.15,1.79,0
20200106:0006,0,0,23.98,1.72,0
20200106:0106,0,0,23.76,1.79,0
20200106:0206,0,0,23.57,1.66,0
20200106:0306,0,0,23.44,1.66,0
20200106:0406,0,0,22.92,1.03,0
20200106:0506,0,0,22.32,1.93,0
20200106:0606,0,0,22.11,1.59,0
20200106:0706,157.42,13.42,22.36,0.9,0
20200106:0806,366.26,26.68,24.94,0.76,0
20200106:0906,574.95,39.22,27.59,0.55,0
20200106:1006,742.57,50.3,30,0.34,0
20200106:1106,868.33,58.32,31.85,0.14,0
20200106:1206,896.27,60.64,33.05,0.21,0
20200106:1306,843.2,56.06,33.81,0.62,0
20200106:1406,717.88,46.73,34.12,0.97,0
20200106:1506,531.1,35.02,33.95,1.38,0
20200106:1606,312.73,22.18,32.9,2,0
20200106:1706,96.52,8.76,31.02,2.07,0
20200106:1806,0,0,28.79,2.21,0
20200106:1906,0,0,27.34,2.07,0
20200106:2006,0,0,26.27,1.93,0
20200106:2106,0,0,25.58,1.72,0
20200106:2206,0,0,25.05,1.72,0
20200106:2306,0,0,24.65,1.66,0
20200107:0006,0,0,24.32,1.66,0
20200107:0106,0,0,24,1.59,0
20200107:0206,0,0,23.67,1.59,0
20200107:0306,0,0,23.4,1.45,0
20200107:0406,0,0,23.16,1.38,0
20200107:0506,0,0,22.94,1.38,0
20200107:0606,0,0,22.57,1.31,0
20200107:0706,152.97,13.36,22.78,0.62,0
20200107:0806,365.17,26.63,25.69,0.34,0
20200107:0906,570.66,39.2,28.46,0.21,0
20200107:1006,729.5,50.32,30.75,0.28,0
20200107:1106,854.09,58.39,32.5,0.14,0
20200107:1206,887.36,60.77,33.65,0.28,0
20200107:1306,829.72,56.22,34.35,0.76,0
20200107:1406,697.22,46.88,34.61,1.24,0
20200107:1506,516.55,35.16,34.27,2.14,0
20200107:1606,302.41,22.31,32.71,2.9,0
20200107:1706,96.32,8.88,30.75,2.83,0
20200107:1806,0,0,28.73,2.48,0
20200107:1906,0,0,27.67,1.93,0
20200107:2006,0,0,26.68,1.72,0
20200107:2106,0,0,26.03,1.52,0
20200107:2206,0,0,25.58,1.38,0
20200107:2306,0,0,25.24,1.45,0
20200108:0006,0,0,24.82,1.72,0
20200108:0106,0,0,24.56,1.79,0
20200108:0206,0,0,24.55,1.66,0
20200108:0306,0,0,24.47,1.45,0
20200108:0406,0,0,24.35,1.45,0
20200108:0506,0,0,24.44,1.31,0
20200108:0606,0,0,24.22,0.48,0
20200108:0706,147.42,13.29,24.92,0.76,0
20200108:0806,353.18,26.59,25.8,0.48,0
20200108:0906,557.54,39.18,27.53,0.28,0
20200108:1006,717.46,50.34,30.16,0.21,0
20200108:1106,850.74,58.47,32.32,0.41,0
20200108:1206,874.04,60.91,33.86,0.48,0
20200108:1306,817.29,56.38,34.66,0.62,0
20200108:1406,695.92,47.04,35.12,0.76,0
20200108:1506,516.24,35.31,34.9,1.31,0
20200108:1606,306.89,22.44,33.24,2.07,0
20200108:1706,95.37,9,31.76,2.34,0
20200108:1806,0,0,29.69,2.55,0
20200108:1906,0,0,29.06,1.66,0
20200108:2006,0,0,27.84,1.66,0
20200108:2106,0,0,26.96,1.66,0
20200108:2206,0,0,26.31,1.72,0
20200108:2306,0,0,25.85,1.66,0
20200109:0006,0,0,25.64,1.52,0
20200109:0106,0,0,25.28,1.45,0
